"idElement","idChallenge","IsCheckpoint","Type","idMedia","X","Y","Width","Height","SourceUrl","Headline","MediaType","Uploaded"
2180,20,1,0,6914,8,11,16,2,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><span style=""font-weight: bold; ""><font size=""5"">Participation is a great way to see if you are making connections. </font></span></p></div>",0,"2013-03-14 19:18:27"
2181,20,1,4,4103,14,15,10,10,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:20;font-style:italic;"">Creating a Call to Action on a YourTurn makes connecting with people more interactive and personal. </SPAN><SPAN STYLE=""font-size:20;font-weight:bold;font-style:italic;"">Create a Call to Action in a challenge. Share the Call to Action, and how one person responded to it. </SPAN></P>",0,"2012-09-03 20:38:48"
2183,20,1,2,,0,9,8,8,"","",,""
2184,20,1,0,6913,0,17,8,8,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><font size=""4"">Flagging inappropriate content, reporting a  broken link, a missing web link, Giving  Feedback,  Asking a question, writing a comment, and reporting a problem to the team allows PLAY to continously stay connected to users. So if you want PLAY to know something, click on the flag. </font></p></div>",0,"2013-03-14 19:18:17"
2757,20,0,5,4097,8,13,6,12,"","How do you think we facilitate CONNECTIONS in the PLAY design model?",0,"2012-09-03 20:33:52"
9,21,0,1,1044,0,0,50,50,"http://files/d7a1f112-7568-4971-88f1-853db3b7fe73.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2196,21,1,5,4107,8,12,9,7,"","How do you think the ability to circulate media affected our web culture, education, technology, and artifacts?",0,"2012-09-03 20:43:28"
2198,21,0,0,7636,3,0,18,2,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><font size=""4""><span style=""color: rgb(0, 128, 0); font-style: italic; "">Circulation</span><span style=""color: rgb(128, 0, 128); ""> is how and where we spread media.&nbsp;</span></font><span style=""font-size: large;"">In the PLAY platform, content </span><span style=""font-size: large; color: rgb(0, 128, 0); font-style: italic;"">circulates</span><span style=""font-size: large;""> to give rise to shared knowledge networks.</span></p></div>",0,"2013-04-03 13:53:58"
2199,21,0,2,,0,12,8,14,"","",,""
2201,21,0,0,7638,8,19,9,7,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:18;"">With In the challenge builder you can circulate many forms of media. When you collect all the different types of media from all over the web your challenge represents the vision you want to circulate.&nbsp;</span><span style=""font-size: 18px;"">You can circulate:</span></p><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:18;""> </span><span style=""font-size:18;color:#0000FF;font-weight:bold;"">Pictures &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">Videos &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">Music &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">News Articles &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">Journal Articles &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">Twitter feeds &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">RSS Feeds (blog feeds) &nbsp;-- &nbsp;</span><span style=""color: rgb(0, 0, 255); font-size: 18px; font-weight: bold; "">Quotes</span></p><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:18;color:#0000FF;font-weight:bold;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Most importantly ideas </span></p></div>",0,"2013-04-03 13:54:53"
2203,21,1,4,5308,17,12,7,14,"","Share a media element you collected from another challenge that is important to you. Then tell us how you used it in a challenge you created.",0,"2012-11-04 21:12:49"
2205,21,0,0,7637,10,2,7,10,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><font size=""4"">Lets say you love this video of the kitten, and you want to share this video through a challenge you build.&nbsp;Within the PLAY platform, you can collect other membersâ€™ media elements and challenges with recognition for helping to circulate the media.&nbsp;</font><span style=""font-size: large; "">A friend loves the idea for your challenge, and take the video and remixes the video for his/her challenge after attributing it to the original creator.</span></p><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><font size=""4""><br></font></p><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><font size=""4"">You both notice that your challenges are really popular, so you two decide to create a network about cat videos. Everyone who likes cat videos can join your network, and now there are many people connecting and collaborating about cat videos through the network you created.</font></p><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><span></span></p></div>",0,"2013-04-03 13:54:08"
2206,21,0,0,4772,4,26,4,5,"","<p style=""font-family: 'Portable User Interface'; color: rgb(0, 0, 0); font-weight: normal; font-style: normal; text-align: left; ""><font size=""4"">The way you tag a media element or challenge decides how it is going to get circulated.&nbsp;</font></p>",0,"2012-10-25 08:46:08"
2207,21,0,2,,8,26,4,5,"","",,""
2208,21,1,3,1031,0,2,10,10,"youtube#h7LfPozXVZc","From PLAY! 1.0",2,"2012-05-31 22:40:11"
2761,21,0,5,4109,17,2,7,10,"","Circulating that cat video sparked the idea into further action.How does circulation ignite interest to take further action? Is the scenario above plausible? Why or Why not?",0,"2012-09-03 20:44:11"
2763,21,0,5,4111,12,26,8,5,"","How would you create a tagging system for media elements, challenges, collections, and Networks?",0,"2012-09-03 20:44:35"
2186,22,0,0,7641,6,0,18,3,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-style:="""" normal;="""" text-align:="""" left;="""" ""=""""><b><font size=""4""><span style=""color: rgb(0, 128, 0); "">Collaboration</span> is working with others to complete tasks, solve problems, and build knowledge.&nbsp;</font></b><b><font size=""4"">Some examples include contributing to a Wikipedia entry and creating music.</font></b></p></div>",0,"2013-04-03 17:00:15"
2187,22,0,0,6935,6,3,18,4,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-weight:="""" normal;="""" font-style:="""" text-align:="""" left;="""" ""=""""><span style=""color: rgb(255, 0, 0); ""><font size=""4"">Traditional teacher-student hierarchical relationships are replaced by ones where â€œteacher and learner roles are not fixed positions but change continuously.â€  Through dialogue, the â€œteacher-studentâ€ and â€œstudents-teachersâ€  teach each other. They co-mingle their experiences, co-configure their knowledge and skills, and co-construct the curriculum.</font></span></p></div>",0,"2013-03-14 19:34:31"
2190,22,0,2,,0,7,11,10,"","",,""
2191,22,1,4,6929,11,7,13,10,"","Become a Peer Reviewer of PLAY! Share how you'd review a challenge. Tell us how you'd assess a challenge.  ",0,"2013-03-14 19:32:03"
2193,22,0,2,,0,27,11,10,"","",,""
2194,22,1,4,6933,11,17,13,10,"","Share a PLAY! challenge that could have or is a part of a collection.  Tell us why you think it was appropriate for the collection.",0,"2013-03-14 19:34:13"
2195,22,1,4,6932,11,27,13,10,"","Share a video reflection on your participation in PLAY!  Have you created a challenge, remixed a challenge, or commented on a challenge?",0,"2013-03-14 19:33:58"
2771,22,0,1,,1,1,1,1,"","",,""
4216,22,0,1,,1,1,1,1,"","",,""
4528,22,0,1,5323,1,1,1,1,"http://hao2010.files.wordpress.com/2011/04/clipart_of_15195_sm_2.jpg","",1,"2012-11-04 21:34:02"
4529,22,0,5,5325,0,17,11,10,"","What are some ways for people to COLLABORATE and build upon each other's knowledge?",0,"2012-11-04 21:34:53"
4530,22,0,2,,0,0,6,7,"","",,""
4532,22,0,2,,0,37,11,11,"","",,""
6405,22,0,5,6928,11,37,13,11,"","What theme would make a good collection in PLAY!",0,"2013-03-14 19:31:38"
2150,23,0,0,6919,7,11,6,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""color: rgb(128, 0, 128); font-size: 14px; font-weight: bold; "">The PLAY platform gives you a space to <u>create</u> artifacts, events, and interpretations to express individual and / or collective feelings, insights, and experiences.</span></p></div>",0,"2013-03-14 19:21:05"
2151,23,1,4,5295,0,22,8,13,"","Share a challenge you created and tell us what inspired you to create it, and tell us if you put orginal content you created in your challenge.",0,"2012-11-04 20:35:38"
2152,23,0,2,,0,4,6,7,"","",,""
2154,23,0,0,6918,0,11,6,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:14;color:#800080;font-weight:bold;"">Remix PLAY content to create new ideas. You can take a challenge you like and remix it by adding or taking out content. </span></p></div>",0,"2013-03-14 19:20:58"
2155,23,0,2,,8,13,7,7,"","",,""
2156,23,0,0,6921,8,20,7,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span></span><span style=""font-size:14;color:#800080;font-weight:bold;"">Make sure to apply attribution to media elements you use in your challenges. &nbsp;This helps to respect the creator of the content or challenge. </span></p></div>",0,"2013-03-14 19:21:53"
2157,23,0,2,,7,4,6,7,"","",,""
2158,23,0,2,,14,4,6,7,"","",,""
2159,23,0,0,6920,14,11,6,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:14;color:#800080;font-weight:bold;"">Make sure to Tag your challenges in PLAY to help define how the content is going be discovered, preceived and reproduced. </span></p></div>",0,"2013-03-14 19:21:18"
2160,23,0,0,6922,16,20,8,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:14;color:#800080;font-weight:bold;"">Creating a network allows you to connect, collaborate and circulate challenges and content that is meaningful to everyone involved in the network. </span></p></div>",0,"2013-03-14 19:22:09"
2161,23,0,2,,8,22,8,9,"","",,""
2162,23,0,2,,16,13,8,7,"","",,""
2163,23,0,0,6923,8,31,8,4,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:14;color:#800080;font-weight:bold;"">Creating Collections expands knowledge paths and shows you how you have transformed. </span></p></div>",0,"2013-03-14 19:22:20"
2164,23,1,4,5298,16,22,8,13,"","Create a network about something you are passionate about. It could be about baseball or Harry Potter. After a couple of weeks tell us if you are a more of creator, collaborator, circulator, or connector in your network. ",0,"2012-11-04 20:40:14"
2166,23,0,0,6917,20,0,4,5,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" font-style:="""" normal;="""" text-align:="""" left;="""" ""=""""><font size=""5""><font color=""#ff0000"">Here are some sites to&nbsp;</font><span style=""color: rgb(255, 0, 0); "">get your creative juices&nbsp;</span><span style=""color: rgb(255, 0, 0); "">flowing!</span></font></p></div>",0,"2013-03-14 19:20:41"
2325,23,0,1,1047,0,0,50,50,"http://files/2fc12ac5-ad18-4740-804c-5ab6b5b8b025.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2772,23,0,8,4123,20,5,4,4,"http://www.linktv.org/knowthenews/remix","",0,"2012-09-03 20:57:33"
2773,23,0,8,4125,20,9,4,4,"http://disney.go.com/create/#/create/","",0,"2012-09-03 20:58:25"
2774,23,0,5,4130,0,13,7,9,"","Why do you think that it is important to keep creating in the digital age, and why do you think there as been an explosion of creators in today's culture?",0,"2012-09-03 20:59:54"
4523,23,0,0,6916,0,0,20,4,"","<div class=""autofill""><b><font size=""4"">We are no longer consumers of media, but <font color=""#ff0000"">""CREATORS""</font> too. &nbsp; The PLAY platform is a fluid system in which learners can teach and teachers can learn. &nbsp;Here are some different ways you can CREATE in the PLAY platform.</font></b><div><b><font size=""4""><br></font></b></div><div><b><font size=""4"">Embedded in the notion of the PLAY platform is distributed expertise designed into the construction by creating a transparent space for knowledge to be created and shared by all who participate. &nbsp;</font></b><font size=""4""><b>PLAY's most fundamental feature is to build challenges with collected media elements adding your own text and ideas into it for the media to make sense combined -- such as this challenge that you're looking at.&nbsp;</b></font></div></div>",0,"2013-03-14 19:20:12"
4526,23,0,0,6924,0,35,24,4,"","<div class=""autofill""><b id=""internal-source-marker_0.35789357288740575"" style=""font-family: Times; ""><p dir=""ltr"" style=""text-align: justify; margin-top: 0pt; margin-bottom: 0pt; ""><b id=""internal-source-marker_0.35789357288740575""><span style=""font-family: 'Times New Roman'; background-color: rgb(255, 255, 255); vertical-align: baseline; white-space: pre-wrap; ""><font size=""5""><span style=""font-weight: normal; "">We are no longer consumers of media, but </span><font color=""#ff0000"" style=""font-weight: normal; "">CREATORS</font><span style=""font-weight: normal; ""> too.  The PLAY platform is a fluid system in which learners can teach and teachers can learn.  </span><font color=""#ff0000"">Here are some different ways you can CREATE in the PLAY platform.</font></font></span></b></p></b><div><b style=""font-family: Times; font-weight: normal; ""><span style=""font-family: 'Times New Roman'; background-color: rgb(255, 255, 255); vertical-align: baseline; white-space: pre-wrap; ""><font size=""5""><br></font></span></b></div><div><b style=""font-family: Times; font-weight: normal; ""><span style=""font-family: 'Times New Roman'; background-color: rgb(255, 255, 255); vertical-align: baseline; white-space: pre-wrap; ""><font size=""5"">Embedded in the notion of the PLAYground is distributed expertise designed into the construction by creating a transparent space for knowledge to be created and shared by all participants.</font></span></b></div></div>",0,"2013-03-14 19:23:42"
11,24,0,1,1001,0,0,50,50,"http://files/022e93a6-72e0-46e2-bb99-d78496273ab0.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2122,24,1,0,3437,0,0,6,3,"","<p style=""font-family: 'Portable User Interface'; color: rgb(0, 0, 0); font-weight: normal; font-style: normal; text-align: left; ""><span style=""font-family: Cambria; font-weight: normal; ""><font size=""4"">The new media literacy play is the capacity to experiment with oneâ€™s surroundings as a form of problem solving. For instance, there is always something to be learned from playing.</font></span></p>",0,"2012-06-05 17:21:49"
2123,24,0,2,,12,2,6,3,"","",,""
2124,24,1,3,1000,0,3,6,4,"http://files/c51c58aa-a796-4cb6-9c3b-8673ad3ceeec.wmv","From PLAY! 1.0",2,"2013-04-25 22:50:37"
2125,24,0,2,,6,0,5,2,"","",,""
2126,24,0,0,2493,12,0,7,2,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:20;"">Playing with toys can teach us how to learn  hand-eye coordination. When playing with others, we learn to share our toys. </SPAN></P>",0,"2012-05-25 05:11:54"
2127,24,1,4,2495,12,10,7,3,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:20;"">We have all played with friends growing up. Can you explain a time you played with your friends and you remember learning something new? Is there a time you remember your friend teaching you something?  Maybe through a playing a game?</SPAN></P>",0,"2012-05-25 05:11:54"
2128,24,0,0,2494,6,3,6,9,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:20;"">Performance is the ability to adopt alternative identities for the purpose of improvisation and discovery. We can perform sometimes without knowing we are. This is when we are investigating an item of our own interests and we end up discovering something we did not know. For example, when we plant flower seeds and wonder how things grow we read a book about plants growing or watch a short television show about it. Other times, we can perform for the purpose of showing an audience something and conveying a story. We may learn something ourselves, but mainly others witness and learn something new. </SPAN></P>",0,"2012-05-25 05:11:54"
2129,24,0,2,,6,13,6,5,"","",,""
