"idElement","idChallenge","Type","Headline"
2203,21,4,"Share a media element you collected from another challenge that is important to you. Then tell us how you used it in a challenge you created."
2205,21,0," Lets say you love this video of the kitten
2206,21,0," The way you tag a media element or challenge decides how it is going to get circulated. "
2208,21,3,"From PLAY! 1.0"
2761,21,5,"Circulating that cat video sparked the idea into further action.How does circulation ignite interest to take further action? Is the scenario above plausible? Why or Why not?"
2763,21,5,"How would you create a tagging system for media elements
2186,22,0,"  Collaboration is working with others to complete tasks
2187,22,0," Traditional teacher-student hierarchical relationships are replaced by ones where â€œteacher and learner roles are not fixed positions but change continuously.â€ Through dialogue
2191,22,4,"Become a Peer Reviewer of PLAY! Share how you'd review a challenge. Tell us how you'd assess a challenge. "
2194,22,4,"Share a PLAY! challenge that could have or is a part of a collection. Tell us why you think it was appropriate for the collection."
2195,22,4,"Share a video reflection on your participation in PLAY! Have you created a challenge
4529,22,5,"What are some ways for people to COLLABORATE and build upon each other's knowledge?"
6405,22,5,"What theme would make a good collection in PLAY!"
2150,23,0," The PLAY platform gives you a space to create artifacts
2151,23,4,"Share a challenge you created and tell us what inspired you to create it
2154,23,0," Remix PLAY content to create new ideas. You can take a challenge you like and remix it by adding or taking out content. "
2156,23,0,"  Make sure to apply attribution to media elements you use in your challenges. This helps to respect the creator of the content or challenge. "
2159,23,0," Make sure to Tag your challenges in PLAY to help define how the content is going be discovered
2160,23,0," Creating a network allows you to connect
2163,23,0," Creating Collections expands knowledge paths and shows you how you have transformed. "
2164,23,4,"Create a network about something you are passionate about. It could be about baseball or Harry Potter. After a couple of weeks tell us if you are a more of creator
2166,23,0," Here are some sites to get your creative juices flowing! "
2325,23,1,"From PLAY! 1.0"
2774,23,5,"Why do you think that it is important to keep creating in the digital age
4523,23,0," We are no longer consumers of media
4526,23,0,"  We are no longer consumers of media
11,24,1,"From PLAY! 1.0"
2122,24,0," The new media literacy play is the capacity to experiment with oneâ€™s surroundings as a form of problem solving. For instance
2124,24,3,"From PLAY! 1.0"
2126,24,0," Playing with toys can teach us how to learn hand-eye coordination. When playing with others
2127,24,4," We have all played with friends growing up. Can you explain a time you played with your friends and you remember learning something new? Is there a time you remember your friend teaching you something? Maybe through a playing a game? "
2128,24,0," Performance is the ability to adopt alternative identities for the purpose of improvisation and discovery. We can perform sometimes without knowing we are. This is when we are investigating an item of our own interests and we end up discovering something we did not know. For example
2130,24,0," Simulation is the ability to interpret and construct dynamic models of real-world process. When we play â€œhouseâ€ we can learn family roles by acting with each other. "
2131,24,4," One way we can learn is by visualizing and simulating through play. After watching the kids simulate acting like they are riding a roller coaster
2132,24,5,"What Do You Think?"
12,25,1,"From PLAY! 1.0"
2133,25,3,"From PLAY! 1.0"
2134,25,0," ""We're part of it!"" "
2136,25,3,"From PLAY! 1.0"
2137,25,0," What is participatory culture ? "
2138,25,0," Participatory Culture is ...  Inclusive â€“ It provides opportunities for everyone to express themselves creatively
2139,25,3,"From PLAY! 1.0"
2140,25,0," What does it look like to participate ? "
2141,25,0," The 4Cs of Participation are:  1. Connecting â€“ forming affliations through memberships in Communities centered around media 2. Circulating â€“ how and where we spread media  3. Collaborating â€“ working together with others via virtual spaces such as Wikipedia and alternaltive reality games to complete tasks and form new knowlegde  4. Creating â€“ we are no longer consumers of media
2144,25,4,"Make your own 60 second How To video about something you want to teach and upload it here.  Challenge: How many Cs can you engage with?! "
4538,25,5,"Can you identify the ways the 4Cs of Participation were used in the How to solve the Rubik's Cube video by cragezyn? "
4539,25,5,"Using the iGeneration video by MCLars above
15,26,1,"From PLAY! 1.0"
2237,26,5,"Do you think work and play are inseparaable as Jane Goodall and Jean Piaget do? Why do you think the skills of play are not transferred to adulthood in today's culture?"
2241,26,0," Jean Piaget and Jane Goodall capture the value of play by rejecting any simple opposition between play and work
2242,26,3,"From PLAY! 1.0"
2243,26,0," ""Play is the work of childhood."" -Jean Piaget  "
2244,26,4,"Show us how you give yourself permission to play by video
2246,26,4,"Share the marshmallow structure you built
2249,26,0," Pleasure is the byproduct of play. The search for pleasure is often what motivates play. Play is stress free and offers no burden of winning or losing. "
2250,26,4,"Share what your passion is and connect it to math. For example I love to dance
2253,26,0," ""You can discover more about a person in an hour of play than in a year of conversation."" - Plato "
2261,26,0," The monkeys have distinctive chararteristics when they want to play
4545,26,0," Through the process of playing and experimenting
4546,26,0," Having passion for a certain subject
4547,26,5,"Tell me what you think about you games and how they are connected to play? How do they help
14,27,1,"From PLAY! 1.0"
2094,27,5,"Earlier in the movie
2101,27,3,"From PLAY! 1.0"
2103,27,4," Imagine that one part of the video of â€œThe Wallâ€ got damaged -- the audio still plays but the screen is totally black. Find a new image or video sequence to insert into this hole.  This item invites users to critically read the video. They must figure out the videoâ€™s tone and visual style
2104,27,0," This question asks users to share more about themselves and encourages them to recognize expertise. Such an exercise is likely to boost usersâ€™ sense of self-efficacy. "
2105,27,3,"From PLAY! 1.0"
2106,27,0," What Do You Think?  How are the two music videos -- â€œThe Wallâ€ and Glenbrook South HS Lip Dub -- similar? How are they different? What does each music video say about education? Which videoâ€™s depiction of education reminds you more of your own experience? Share an example from your life to explain why.  This What Do You Think? invites users to compare and contrast two different entities. It also asks them to step back from the videosâ€™ production elements and think about their messages. Finally
2107,27,4,"     Make your own lip dub!  "
2110,27,0," What Do You Think?  Remember how Ms. Vito explained positraction to the Alabama jury by using an example about getting stuck in the mud? How would you explain something complicated about your area of expertise to PLAY! platform users? What tools -- like examples or visuals -- would you use to help people understand? Why would these tools be helpful for your audience?  This question invites users to appreciate a skill modeled by media and think through how they would apply it in their own life. It also encourages perspective-taking
13,28,1,"From PLAY! 1.0"
2109,28,5,"What Do You Think?"
2113,28,0," Based on the nature of this media
2115,28,3,"From PLAY! 1.0"
2116,28,3,"From PLAY! 1.0"
2117,28,0," Based on these arguments
2119,28,4," Review â€œGlobaloria: Bridging the Civics Education Gap
2121,28,0," Synthesize. Put it all together. What do the media
16,29,1,"From PLAY! 1.0"
2081,29,5,"Why might you think asking students to engage with challenges could be an additional resource and a richer learning experience for Arron Sams' class?"
2083,29,0," A good challenge offers a more robust way to â€œflip the classroomâ€ Arron Sams uses his classroom time for project-based work and walking around as a â€œguide on the sideâ€/mentor. He asks his students to watch lectures at home so they have the ability to experiement and play with the subject too. "
2084,29,3,"From PLAY! 1.0"
2086,29,4," Creating a challenge is a very hands on experience. One might want to create their own video or take photos
2088,29,4," Learning in today's world is very multidimentional.  There are so many ways to engage people with information that is relavent and media rich .  Share a media tool that you have used in the past year. Attach a picture or video of the media tool you used. the media can be high tech
2090,29,4," Arron Sams creates questions that encourage dialogue . He uses open-ended questions to make his students think critically about the subject they are learning.  Frame a question about how to create a good challenge that creates a discussion. Post it on this yourturn
2095,29,0," Have fun challenge building!!! "
17,30,1,"From PLAY! 1.0"
2071,30,3,"From PLAY! 1.0"
2078,30,4,"People play in all kinds of places and for all kinds of reasons. Share a picture or video of how you play
2079,30,3,"From PLAY! 1.0"
2082,30,4,"Try playing this game called Bloons. Once youâ€™re done
4509,30,5,"Having ideas fail can be just as useful as having them succeed. Noticing how things fail can provide important clues about how the problem works. Often when we fail
4513,30,5,"Playing is not always about solving a specific problem. It can be about just messing around out and seeing what happens. How do you experiment in your everyday life? What are some of your favorite ways of playing that use experimentation?"
4514,30,0," Play  is everywhere! The new media literacy play is the capacity to experiment with oneâ€™s surroundings as a form of problem solving. "
4515,30,0," For problem-solving
18,31,1,"From PLAY! 1.0"
2056,31,5,"What Do You Think?"
2057,31,4," do you have linsanity? "
2058,31,0," Of all the drives
2059,31,0," It came at the end of the seventh win last night. The camera had panned lovingly on Jeremy Linâ€™s face throughout the game
2060,31,2,"From PLAY! 1.0"
2099,31,3,"From PLAY! 1.0"
2061,32,5,"What Do You Think?"
2064,32,0," A number of radical Islamic groups including Muslims Against Crusades (MAC) gathered outside the embassy on the 10th anniversary of the attacks. The group of around 100 men shouted ""USA terrorists""
2048,33,5,"What Do You Think?"
2055,33,2,"From PLAY! 1.0"
2032,34,0," Make it Aesthetically Pleasing  Think about the principles of graphic design: balance
2035,34,3,"From PLAY! 1.0"
2036,34,0,"  Consider a Preferred Path  Layout doesnâ€™t have to (and canâ€™t entirely) be linear
2037,34,0," Choose Productive Media Elements "
2039,34,0," Consider whether itâ€™s important that a wide audience is familiar with the concept/person you show. "
2042,34,0," Consider Accessibility  Very long videos may be excessive  â€œ...stick to one idea
2046,34,0," Avoid Language that is Hard to Understand   ...check out Colbert reciting Jabberwocky in this video --- "
2047,34,3,"From PLAY! 1.0"
2049,34,0," And last but not least ...Design according to learning goals  What do you want users to have learned or done by the end of your challenge?  Note: is a helpful tool in developing Goals "
4550,34,5,"Can you find the irony? Why might people laugh (or even scratch their heads in confusion) when they realize that this web page is about good graphic design?"
4551,34,0," Consider a preferred path -- layout doesnâ€™t have to (and canâ€™t entirely) be linear
4554,34,5,"Consider this imageâ€™s effectiveness. What sorts of objectives/arguments does this image serve? (For example
2025,35,5,"What Do You Think?"
2027,35,0," Put on your thinking caps -- weâ€™re about to think about thinking! "
2029,35,4," What Do You Think?  Why does this music video
2030,35,3,"From PLAY! 1.0"
2023,36,5,"What Do You Think?"
2024,36,0," This poem is about the sinking of the titanic ship. It appears that the tone is one of sorrow. "
21,37,1,"From PLAY! 1.0"
2015,37,0," The 1992 Los Angeles Riots or a.k.a South Central Riots started on April 29
2017,37,0," The riots went from Wednesday
20,38,1,"From PLAY! 1.0"
2008,38,3,"From PLAY! 1.0"
2009,38,0," The riot of 1992 was really horrible. People were acting like if it was the day before the world ended because a lot of businesses were set on fire and a lot of robberies were going on. A lot of people were killed and injured during this riot. "
2010,38,0," This riot was caused by a guy getting beaten and almost being dead. Almost like the starting of World War One. The guy that caused this riot was named Rodney King and here is a picture after he was beaten on March 2
2014,38,4," What is your opinion? "
23,40,1,"From PLAY! 1.0"
1998,40,5,"What Do You Think?"
1999,40,0," Are the four C's evident in this challenge?  Create
2000,40,3,"From PLAY! 1.0"
24,41,1,"From PLAY! 1.0"
1992,41,5,"What Do You Think?"
1994,41,4," Are the four C's evident in this challenge? Create
2089,41,3,"From PLAY! 1.0"
25,42,1,"From PLAY! 1.0"
1993,42,5,"What Do You Think?"
1995,42,0," Check out this video about heredity:  http://www.schooltube.com/video/75eba9376e91418f9fa4/Heredity "
1996,42,0," Gregor Mendel was a monk who lived in Europe in the 1800s. In his spare time
1997,42,0," Visit these websites. Go through the steps to find information!  http://www.dnaftb.org/1/animation.html  http://www.dnaftb.org/2/animation.html  http://www.dnaftb.org/3/animation.html  http://www.dnaftb.org/4/animation.html "
2026,42,4," Describe heredity in your own words . Write complete sentences! "
26,43,1,"From PLAY! 1.0"
1981,43,5,"What Do You Think?"
1984,43,0," Should all teen be trided as adults? in my opinion i think that those who really want to make bad to those families that are really happy and falilies that they do activities together this kind of kids should get trided like adults.beacuse they now what are they doing.they dont have heart to see families sufer.to those who do bad to poeple because others tell them they have to do it.yes they should get trided as adults.because this people dont want to do it because they want to they do it because people are fors them to do it.to those little boy that are 10-14 dont now what are they doing because they have an inosent mine.mabe this little kids that that under age they kill and stold they do it because most parents dont see what are they watching on t.v.this kids should not be trided as adults.but the law is that law.and they choose what to do with this teen that they acuse them of murder. "
1985,43,4," should teen be trided as adults when they cumite a crime? "
1986,44,5,"What Do You Think?"
1990,44,0,"  Did you know that 1 in 3 kids are considered overweight or obese in the last U.S.? Take some health
1977,45,5,"What Do You Think?"
1980,45,0," how many presidents have been able to keep their promises to the people?well our former president 'Barack Obama"" had once said that the united states isnt perfect and they to make mistakes
1982,45,4," who agrees that the biggest lies come from the presidents? "
1983,45,2,"From PLAY! 1.0"
27,46,1,"From PLAY! 1.0"
1966,46,5,"What Do You Think?"
1970,46,0," Facebook is a social network website intended to connect friends
1972,46,2,"From PLAY! 1.0"
1973,46,4,"        RESPONSE  Do You Think Facebook Is A Good Website To Contact People? "
1974,46,4,"          VIDEO   How Does Facebook Work- Understanding The Concept www.pls91.com How does facebook work.Facebook is the most popular social networking site today... "
28,47,1,"From PLAY! 1.0"
2092,47,5,"What Do You Think?"
2096,47,0," People who are apart of wants Wall Street to be accountable to fix the economy "
1971,48,5,"What Do You Think?"
1975,48,0," one many things that the world is experiencing profiling. is very important that we should take serious and do something about it to make this world better palce for us. racial profiling takes place in many different way
1976,48,2,"From PLAY! 1.0"
1978,48,4," if we cannot trust the police to protect us
29,49,1,"From PLAY! 1.0"
1964,49,5,"What Do You Think?"
1967,49,2,"From PLAY! 1.0"
1968,49,0," Securing land rights for the worldâ€™s poorest Across the globe
1969,49,4," What do you think rich people and rich countries should do to help this people? "
30,52,1,"From PLAY! 1.0"
1961,52,5,"What Do You Think?"
31,53,1,"From PLAY! 1.0"
2066,53,5,"What Do You Think?"
2067,53,2,"From PLAY! 1.0"
2068,53,0," Securing land rights for the worldâ€™s poorest Across the globe
2070,53,4," What do you think rich countries and people should do to help this people? "
32,54,1,"From PLAY! 1.0"
1958,54,5,"What Do You Think?"
1962,54,2,"From PLAY! 1.0"
1963,54,0," For decades
1965,54,4," What do you think rich people and countries should do to help this people? "
33,56,1,"From PLAY! 1.0"
1955,56,5,"What Do You Think?"
1959,56,4," Why do you think obesity is a big problem? "
1960,56,0," Obisety is a big problem evry where around the world. McDonalds is a big problem that brings obisety. There are dozens of fast food places around that world that cause obisety. Its a problem because it causes people to be sick and it can give them heart attackes. Obesity happens becaus of what people eat.It is the number one problem in the united stated. If a person stops eating fastfood you will have a less chance of becoming fat. If you also reduce the amount of food you take in you will become much healthier. "
34,57,1,"From PLAY! 1.0"
1947,57,0," Diabetes is a really known disease here in America. As a parent you are responsible for your own childrens health.  You can't always give your kids ebverything they want or cry for. Because later on it will hurt u to know that your child has diabetes.  McDonalds has a way with kids. They can "
1950,57,5,"What Do You Think?"
35,58,1,"From PLAY! 1.0"
1944,58,5,"What Do You Think?"
1952,58,0," parents and members of a neigborhood in chicago voice their concerns about security gaurds using excessive force at a elemntary school. several students were injured and parents think that security is to blame. the dispute happend during a metal detector screening at Wentwoth Elementary. police arrested eight children and parents say the used excessive "
1954,58,4," what do you think? "
36,59,1,"From PLAY! 1.0"
1942,59,5,"What Do You Think?"
1949,59,0," Diabetes is a really known disease here in America.  As a parent your responsible for your own childs health.  You can't always be giving them everything they ask for. McDonalds is a really famous known resturaunt that every child wants. McDonalds Does everything possible to get your child to keep wanting them. They are all over the world.  Take care of your childrens health! only you are responsible for their health. "
1941,60,5,"What Do You Think?"
37,61,1,"From PLAY! 1.0"
2020,61,5,"What Do You Think?"
2021,61,4," What do you think? "
2022,61,0," Many people may argue that they did the crime so they should take responcibility. I think i would be okay if this was the case for all the people in Death Row
38,62,1,"From PLAY! 1.0"
1937,62,5,"What Do You Think?"
1939,62,0," Who should we blame? The fast food or people?  Eating a burger is not usually a problem. But sometimes that causes disase
1932,63,5,"What Do You Think?"
1938,63,0," mariguna i think that mariguana only should be illegal for old peoples who need for medicine
1946,63,2,"From PLAY! 1.0"
39,64,1,"From PLAY! 1.0"
1933,64,0," The United States has the highest teen pregnancy rate in the industrialized world. Educating teenagers about contraception makes them more likely to use contraception when they begin having sex
1936,64,0," Facts on teen pregnancy :  -Teenage mothers are more likely to drop out of highschool   -Be and remain single parents   -score lower in math and reading into adolescence   Prevention   If you are a teen thinkng about having sex
40,65,1,"From PLAY! 1.0"
1928,65,0," I was reading an article about how people should becareful on what they put on line. It got my attention because they talked about how people lose there jobs because of facebook or they dont get hire because what they put on facebook. People think that only our friends are seeing our facebook but how many of them are reallly your friends. There so many people that just add people they dont even know them. Sometimes does people that we add may be someone looking for trouble because i know that there so many people creating facebook and pretending to be another person.Also we log in to facebook so we could check what parties are going to happen during this weekend. Another thing is that most of the people that have a facebook are people that have a job. Some of those workers they sometimes express things abnout their boss and they think that htey wont found out but he will and you might lose your job. IM not saying that we should not use facebook but to becareful on what we put on facebook. Cause we might thing that we put things on facebook but we dont see that we are showing it almost tho half of the world. There so many people that got their carrers ruined just for onr thing that they put on facebook dont be the next one to get your carrer ruined just for what you put on facebook. "
1929,65,0," Facebook does not only ruins our carrers also they ruined our relationship. Many people have so many friends and they also have their boyfriend or girlfriend on their facebook. If girls are the jelous type they will do a big drama if they see a girl writing on your page and tha might create problems. Also if guys are the jelous type they might be so mad if they see a guy trying to talk to you and the guy might be only your friend or the girl might be only your friend to. I have seen so many relationship flush down the toilet just because they had problem because of facebook.One day i saw my friend put on facebook that she had problem with her boyfriend and that comment that she put created more problems. I use my facebook to talk to friend anfd put things but i always see twice or three times on what i put on facebook. "
1930,65,4," Tell me what you think about facebook and is true that facebook could ruin our carrers? "
1922,66,5,"What Do You Think?"
41,68,1,"From PLAY! 1.0"
1919,68,5,"What Do You Think?"
1923,68,0,"   A majority of the worlds poorest countries today are in Africa. Of course some African countries like South Africa and Egypt are not quite as poor as others like Angola and Ethiopia. And though in recent years absolute poverty in Africa has shown some slight falls
1924,68,2,"From PLAY! 1.0"
1925,68,4," What should rich countries do to help that people? "
42,71,1,"From PLAY! 1.0"
1917,71,5,"What Do You Think?"
1920,71,0," Many older people think that teenagers can't have true love because they are too young for it. That we are not mature enough to be thiking like that. Some parents think that its just puppy love
1921,71,4," What do you think? "
43,73,1,"From PLAY! 1.0"
1913,73,5,"What Do You Think?"
1916,73,0," When you hear the word discrimination
1918,73,2,"From PLAY! 1.0"
58,74,1,"From PLAY! 1.0"
1909,74,5,"What Do You Think?"
1915,74,0," Step 1: Know your proper environment... "
44,75,1,"From PLAY! 1.0"
1902,75,5,"What Do You Think?"
1903,75,0," How do you connect the skeleton with the concepts of the 5 American Ideals: Democracy
1904,75,4," For this challenge I would like you to do one of two responses - a short ""How to"" video (54 seconds) response stating at least one of the Ideals
45,76,1,"From PLAY! 1.0"
1893,76,5,"What Do You Think?"
1895,76,4," Please share your visual/audio response to all of or any one of the 5 American Ideals "
1896,76,0," As Americans the words Democracy
1900,76,0," The Assignment Step 1: You have been assigned one of the 5 American Ideals (Democracy
46,77,1,"From PLAY! 1.0"
1889,77,5,"What Do You Think?"
1892,77,0," article: http://blogs.washingtonpost.com/thedebate/2006/03/wall_or_no_wall.html   or such ""should we build a wall along the border of the U.S. and Mexico? in google.   "
1894,77,4,"  Would the wall actually prevent undocumented immigrants from entering? how would people react? should something be done about it
47,78,1,"From PLAY! 1.0"
1885,78,5,"What Do You Think?"
1886,78,0," asd asdasdas "
1890,78,2,"From PLAY! 1.0"
1891,78,3,"From PLAY! 1.0"
48,79,1,"From PLAY! 1.0"
1875,79,5,"What Do You Think?"
1876,79,3,"From PLAY! 1.0"
1877,79,0," The internet has been used to spread awareness and support for the Occupy Movement. Facebook
1879,79,4," Post a picture of your own ""I am the 99%"" statement. (Your face can be completely in the picture
49,80,1,"From PLAY! 1.0"
1880,80,5,"What Do You Think?"
1881,80,0," Why Not a Monarchy in the Good Oleâ€™ US of A? Iâ€™ve become a royalist. There
1882,80,0," aninoy was here? "
1883,80,4," Do you believe monarchy would be a good thing? "
1884,80,2,"From PLAY! 1.0"
50,81,1,"From PLAY! 1.0"
1870,81,5,"What Do You Think?"
1871,81,0," Why Monarchy is a Good Thing July 24
1872,81,4," As you read many people agree that democracy is the best from of government "
1873,81,0," Democracy is good for everyone
1874,81,2,"From PLAY! 1.0"
51,83,1,"From PLAY! 1.0"
1865,83,5,"What Do You Think?"
1866,83,0," Drinking is not good for teens. Its very addicting and its bad for a teen to be doing that. Sometimes drinkers cant stop drinking and it can be addicting. You can say that you are going to quit but in reality sometimes you cant because its addicting. You wish you can quit sometimes but you cant because you love to drink. Its a bad idea and you shoulnt do it. It goes the same to smoking they are both addicting. "
1911,83,4," Why do you think that teens drink alot and get addictive? "
52,84,1,"From PLAY! 1.0"
1858,84,5,"What Do You Think?"
1860,84,0," Old school games like the SNES
1861,84,2,"From PLAY! 1.0"
1863,84,2,"From PLAY! 1.0"
1864,84,2,"From PLAY! 1.0"
53,85,1,"From PLAY! 1.0"
1854,85,5,"What Do You Think?"
1855,85,3,"From PLAY! 1.0"
1857,85,0,"  Why is Tetris so addictive? It is like an electronic drug â€“ a â€œpharmatronicâ€ according to Wired. Studies have shown that playing tetris increases the consumption rate of glucose in the brain giving a slight high. However after 4 to 8 weeks of playing tetris daily
1852,86,5,"What Do You Think?"
1856,86,0," juvenil justice is jail for teens that are make justice for the tenn.my question is do teen have to be trided like like adults.in my opinion is yes and no.because some of the kids dont kill people because they want to is because some other people may send them.If they dont do it that person may kill their familly so thats wat i think that this kind of teen should not get trided like adults.The teens that they do things because they want to do it they should get trided like adults.Because they diseded to do some thing that they should not suppost to do. For example some teens kill because they are in gangs they think that all the blocks are they.i think they dont own nothing because the streets is for all the people.some teens kill they parents because they dont want nobody to be telling them what to do. "
54,87,1,"From PLAY! 1.0"
1948,87,5,"What Do You Think?"
1956,87,0," Why do most people decide to eat fast food than to rather eat health. most people believe it or not are addicted to fast food and they must eat 3 times a week what people don't know is that fast food is dangerous for them and its unhealthy and it could even lead to death. Advertisment of course makes all kinds of commercial to get children attention by making everything look good and not dangerous at all. People should be more aware of what they are eating come to think of it they would probably might even stop consuming fast food. "
1957,87,4," how many cases have gone to court cause of fast food restaurants?  how many percent of children have diabetes today?  what the most popular fast food restaurants you'll find in countries? "
1847,88,5,"What Do You Think?"
1849,88,0," over the past years many new devices have come out to help better the world
1853,88,4," What do you think well we advance fast or it will stop here? "
1844,89,5,"What Do You Think?"
1846,89,0," fast food can kill any person but if we just care about our health we have more to enjoy in this world. i prefere eat more fruits and drink water. In this country fast food is the most big problem in everyperson because children youn people and adult person got a diabetes
1848,89,4," you think fast food is good for children to grown up fast? "
1841,90,5,"What Do You Think?"
1843,90,0," Why does diabetes keep growing?  Diabetes is a disorder of metabolism causing excessive thirst and the production of large amounts urine.  Diabetes is a very well known disease. Children all over the word are getting diabetes. The most common reason why diabetes exist is because of all the fast foods in the world. For example McDonalds is a bad place to take your kids because all they do is try anything to keep your child wanting more and more. They do anything to keep you comming back. McDonalds has the greasiest fast food restaurant known. They move all over the world to reach to your kids.  You can also die of having diabetes. There is mearly 21million americans with diabetes. Take care of your children if you don't want them to be next. "
1845,90,2,"From PLAY! 1.0"
55,91,1,"From PLAY! 1.0"
1840,92,5,"What Do You Think?"
1842,92,0," Many of the teenagers start to do drugs when they are round 12-18 years old. When they do drugs they dont think in nothing just in drugs and sex. "
1837,94,5,"What Do You Think?"
57,97,1,"From PLAY! 1.0"
1828,97,5,"What Do You Think?"
1831,97,0," Religion has been the leading cause of war in the world. No ones loves to kill and destroy about anything better then about arguing who the true creator is. People use there so called ""god"" as an excuse to kill anyone who doesnt agree. This world would be a better place if we just didnt have religion 
1834,97,4," What are your opinions on this topic? Do you think that the world would be better without religion? No flamers or trolls this is my opinion and i am not trying to offend anyone. "
59,113,1,"From PLAY! 1.0"
1833,113,5,"What Do You Think?"
1836,113,0," Fast food has a strong reputation for being unhealthy
1838,113,3,"From PLAY! 1.0"
1839,113,4," Do you think fast food is the main problem for obesity? "
1827,114,5,"What Do You Think?"
1829,114,2,"From PLAY! 1.0"
1830,114,0," School food taste pretty bad and smell not tasty. I heard from my friends about school food that it taste unpleasent but they eat it because they need to have some kind of meal to keep going throughout they day. I personally eat what I bring from home a sandwich
60,115,1,"From PLAY! 1.0"
1816,115,5,"What Do You Think?"
1820,115,0," On third of nation's children eat fast food
61,116,1,"From PLAY! 1.0"
1821,116,5,"What Do You Think?"
1822,116,0," http://www.ted.com/talks/jamie_oliver.html  Jamie Oliver: Teach every child about food(video) "
1823,116,0," Is fast food killing you slowly?  I believe that fast food is playing a huge role in the obesity problem here in the United States. Can Fast food kill you? Maybe not by itself
1824,116,0," http://www.bing.com/videos/watch/video/five-frightening-fast-food-facts/1ai3453gi  Five Frightening Fast Food Facts. "
1826,116,4," Is Fast Food making kids obese? "
62,117,1,"From PLAY! 1.0"
1818,117,5,"What Do You Think?"
1819,117,0," in America? I mean I've been going to message boards lately (just checking them out
1812,119,5,"What Do You Think?"
1817,119,0," Are Fast Food Chains to Blame for the Nations Obesity? Americans are getting fatter and fatter every year. It is estimated that as many as one in five Americans is obese
63,120,1,"From PLAY! 1.0"
1810,120,5,"What Do You Think?"
1811,120,3,"From PLAY! 1.0"
1814,120,0," In the story macbeth by shakespear the main characters macbeth and lady macbeth plot to kill king Duncan. Both play a big part in the murder. All though macbeth was the one who stabbed Duncan
64,121,1,"From PLAY! 1.0"
1804,121,5,"What Do You Think?"
1808,121,3,"From PLAY! 1.0"
1809,121,4," Your Challenge:  T hink about a way that you can use technology to help teach Costello to multiply correctly.  Some ideas to think of: 1. Create a video 2. Create a song 3. Create a presentation 4. Make a actual model of the problem and tape  This is your opportunity to be creative and use your imagination to show Costello how to correctly multiply 13 x 7 "
1813,121,0," Abbott and Costello from the movie ""In the Navy."" Costello is convinced that 13 x 7 = 28. Watch the video and take a close look at the strategies he uses to prove his point to Abbott.  1. Watch the video 2. Go to the Conversation Section to answer the questions 3. Enter your responses in the comment section "
1815,121,0," Use the Conversation Area to enter your reflection to the video.  *You must make a response about the video. Examples of a response: a. great challenge b. loved the video  *Comment on two other students' response to the video.  Please be positive with your reflection and response. Provide feedback by giving examples from the video or your own personal experience with the challenge. "
